cep_origem;latitude_origem;longitude_origem;cep_destino;latitude_destino;longitude_destino
08280-000;-23.557155899999998;-46.466515799999996;02860-000;-23.4545031;-46.6950561
03126-000;-23.581913;-46.59102439999999;04121-000;-23.597555800000002;-46.6269553
05020-000;-23.533673699999998;-46.6832955;01327-000;-23.5533104;-46.646942200000005
04401-000;-23.662454699999998;-46.6643689;08295-000;-23.547291199999997;-46.45012020000001
08030-000;-23.505577300000002;-46.422487100000005;02406-000;-23.488564800000002;-46.6314826
03311-000;-23.547731699999996;-46.5635172;04606-000;-23.6223312;-46.676758
03755-000;-23.5089842;-46.502425;03210-000;-23.5964344;-46.5556688
01026-000;-23.539405600000002;-46.63278769999999;05011-000;-23.5423967;-46.67157
08430-000;-23.5309546;-46.4236882;03067-000;-23.5373312;-46.573668700000006
04646-000;-23.6433516;-46.674806700000005;05437-000;-23.5477277;-46.68900259999999
03690-000;-23.527349800000003;-46.4790647;04571-000;-23.6069438;-46.6954541
09070-000;-23.65661;-46.553952;01229-000;-23.5398857;-46.6597367
01526-000;-23.5641757;-46.631494;03607-000;-23.520630399999998;-46.5440289
03215-000;-23.6082789;-46.5576499;03445-000;-23.548564399999997;-46.5299006
04795-000;-23.654566199999998;-46.72488380000001;02536-000;-23.4960683;-46.6474223
01022-000;-23.5448448;-46.6334325;04041-000;-23.6013552;-46.6397316
08060-000;-23.502655100000002;-46.453131799999994;05842-000;-23.6513986;-46.741719700000004
01332-000;-23.5598025;-46.6530639;02562-000;-23.486597500000002;-46.6743433
01545-000;-23.578236999999998;-46.6216472;08421-000;-23.5673807;-46.422487100000005
03905-000;-23.5789139;-46.5144605;03512-000;-23.536789300000002;-46.5258379
03694-000;-23.539846100000002;-46.47656629999999;02256-000;-23.4754203;-46.58719
02041-000;-23.4921174;-46.61804179999999;05119-000;-23.4974503;-46.73553029999999
03268-000;-23.5978343;-46.528580600000005;04918-000;-23.689047100000003;-46.7418047
08041-000;-23.5181818;-46.4436578;04671-000;-23.653649100000003;-46.684566100000005
04781-000;-23.687963600000003;-46.702532899999994;02234-000;-23.479983100000002;-46.5698414
03805-000;-23.5060393;-46.482477200000005;02208-000;-23.483131600000004;-46.5915896
02069-000;-23.505239899999996;-46.6132771;04288-000;-23.6113478;-46.6137321
05352-000;-23.544551199999997;-46.7630442;05441-000;-23.5443891;-46.695316399999996
04297-000;-23.6317848;-46.6046343;04357-000;-23.6373671;-46.6563885
04691-000;-23.6668358;-46.6931531;05756-000;-23.623969;-46.75138949999999
03121-000;-23.562102199999998;-46.5978592;04015-000;-23.5840561;-46.63704310000001
04661-000;-23.657746600000003;-46.6789846;01151-000;-23.5307826;-46.6569873
02611-000;-23.471459399999997;-46.6665266;04184-000;-23.6496417;-46.599973
03371-000;-23.571301000000002;-46.548474;03115-000;-23.5497004;-46.5960461
04203-000;-23.5839581;-46.6077091;04104-000;-23.576590200000002;-46.6406904
03655-000;-23.5252385;-46.514720700000005;08285-000;-23.5545398;-46.4808621
04782-000;-23.6869771;-46.7036182;04459-000;-23.6941808;-46.672344700000004
04753-000;-23.651162;-46.7090565;04860-000;-23.7575421;-46.71553
08270-000;-23.5681771;-46.46865589999999;04385-000;-23.664466600000004;-46.6529167
04854-000;-23.7676385;-46.694887;03880-000;-23.5075969;-46.4897779
02670-000;-23.4670108;-46.663306;02201-000;-23.4855348;-46.5922002
02253-000;-23.4788267;-46.5955443;04677-000;-23.6674194;-46.6817031
